주문번호,거래일자,고객코드,고객명,연락처,상품코드1,상품코드2,상품코드3
O00001,2019-01-02,C0032,김권수,010-2401-3866,P00049,P00050,P00060
O00002,2019-01-03,C0038,이희근,010-5861-5613,P00001,P00027,
O00003,2019-01-03,C0026,남종숙,010-2767-0420,P00069,P00026,P00083
O00004,2019-01-04,C0037,이상용,010-2867-5882,P00063,P00042,
O00005,2019-01-04,C0014,박철완,010-2477-8580,P00012,P00055,P00083
O00006,2019-01-05,C0040,김미아,010-4864-7316,P00062,,
O00007,2019-01-09,C0046,이순형,010-4428-5594,P00001,,
O00008,2019-01-10,C0036,송진욱,010-6624-4438,P00100,,
O00009,2019-01-10,C0017,우희출,010-6803-4543,P00068,P00050,
O00010,2019-01-11,C0048,정한기,010-5105-2473,P00065,P00090,P00059
O00011,2019-01-11,C0017,우희출,010-6803-4543,P00064,P00056,
O00012,2019-01-12,C0020,권영중,010-6515-5838,P00036,P00069,P00007
O00013,2019-01-12,C0042,김태훈,010-7405-7299,P00037,P00001,P00034
O00014,2019-01-14,C0010,이종욱,010-9526-5001,P00060,P00093,
O00015,2019-01-14,C0030,김주미,010-4693-4037,P00089,P00035,P00042
O00016,2019-01-14,C0039,전진숙,010-7324-4931,P00004,P00010,
O00017,2019-01-15,C0039,전진숙,010-7324-4931,P00075,P00066,P00087
O00018,2019-01-18,C0042,김태훈,010-7405-7299,P00085,P00005,P00081
O00019,2019-01-18,C0025,전상기,010-2307-2910,P00020,P00055,P00098
O00020,2019-01-22,C0018,김현덕,010-3074-4509,P00055,P00015,
O00021,2019-01-23,C0047,김중녕,010-9480-8955,P00055,P00084,
O00022,2019-01-23,C0031,김형희,010-7003-4376,P00072,P00018,
O00023,2019-01-25,C0032,김권수,010-2401-3866,P00050,,
O00024,2019-01-26,C0048,정한기,010-5105-2473,P00026,,
O00025,2019-01-26,C0005,차춘환,010-8263-6287,P00080,P00066,
O00026,2019-01-27,C0036,송진욱,010-6624-4438,P00054,,
O00027,2019-01-27,C0020,권영중,010-6515-5838,P00039,P00025,
O00028,2019-01-28,C0010,이종욱,010-9526-5001,P00078,P00037,
O00029,2019-01-30,C0037,이상용,010-2867-5882,P00014,P00052,P00043
O00030,2019-01-30,C0016,류기영,010-5203-6148,P00037,P00012,P00096
O00031,2019-02-02,C0041,김희영,010-9327-1375,P00075,P00092,
O00032,2019-02-04,C0034,김학상,010-2751-9651,P00047,P00070,P00095
O00033,2019-02-05,C0025,전상기,010-2307-2910,P00025,P00038,
O00034,2019-02-07,C0045,김준환,010-5683-9727,P00013,,
O00035,2019-02-08,C0049,류권준,010-9266-6435,P00089,,
O00036,2019-02-09,C0010,이종욱,010-9526-5001,P00071,,
O00037,2019-02-10,C0006,박대현,010-7401-2376,P00068,,
O00038,2019-02-10,C0036,송진욱,010-6624-4438,P00067,P00001,
O00039,2019-02-13,C0017,우희출,010-6803-4543,P00023,P00015,
O00040,2019-02-13,C0001,김호숙,010-7182-7632,P00044,P00020,P00069
O00041,2019-02-14,C0003,이호선,010-3594-7255,P00084,,
O00042,2019-02-14,C0023,안병찬,010-8355-4793,P00001,,
O00043,2019-02-14,C0028,이지연,010-4049-3304,P00007,P00060,P00006
O00044,2019-02-14,C0001,김호숙,010-7182-7632,P00008,P00023,P00045
O00045,2019-02-17,C0015,신명준,010-8916-2033,P00016,,
O00046,2019-02-17,C0023,안병찬,010-8355-4793,P00090,P00012,
O00047,2019-02-17,C0026,남종숙,010-2767-0420,P00093,,
O00048,2019-02-23,C0022,박순지,010-7872-6022,P00013,,
O00049,2019-02-24,C0027,이홍우,010-5270-8966,P00052,P00008,P00062
O00050,2019-02-25,C0047,김중녕,010-9480-8955,P00079,,
O00051,2019-02-27,C0036,송진욱,010-6624-4438,P00070,P00066,P00035
O00052,2019-02-27,C0018,김현덕,010-3074-4509,P00052,P00099,P00023
O00053,2019-02-28,C0012,김동희,010-4366-0077,P00080,P00042,P00045
O00054,2019-03-01,C0047,김중녕,010-9480-8955,P00057,P00038,P00100
O00055,2019-03-01,C0049,류권준,010-9266-6435,P00021,,
O00056,2019-03-01,C0016,류기영,010-5203-6148,P00092,,
O00057,2019-03-03,C0004,김경언,010-7671-6208,P00071,P00080,
O00058,2019-03-04,C0031,김형희,010-7003-4376,P00067,P00018,P00010
O00059,2019-03-05,C0031,김형희,010-7003-4376,P00078,P00061,P00080
O00060,2019-03-05,C0015,신명준,010-8916-2033,P00018,,
O00061,2019-03-06,C0014,박철완,010-2477-8580,P00071,P00028,P00077
O00062,2019-03-07,C0043,도준호,010-3722-4756,P00024,,
O00063,2019-03-08,C0049,류권준,010-9266-6435,P00093,,
O00064,2019-03-08,C0030,김주미,010-4693-4037,P00069,,
O00065,2019-03-10,C0011,김순자,010-4424-5613,P00051,P00081,P00100
O00066,2019-03-10,C0015,신명준,010-8916-2033,P00022,,
O00067,2019-03-12,C0005,차춘환,010-8263-6287,P00073,,
O00068,2019-03-15,C0044,김수홍,010-4922-4250,P00022,P00045,P00025
O00069,2019-03-15,C0021,임석준,010-8145-5782,P00088,,
O00070,2019-03-17,C0007,오창학,010-7738-7223,P00018,P00096,
O00071,2019-03-18,C0029,심종은,010-4004-8433,P00050,P00009,P00033
